,NeighborhoodName,LargerDistrictName,Latitude,Longitude,Population,HouseholdIncome,AsiansPercent
0,North Seattle,Seattle,47.6607729,-122.2914971,,,
1,Broadview,North Seattle[42],47.7223199,-122.3604067,8025,116281,8
2,Bitter Lake,North Seattle[42],47.7262358,-122.3487639,8003,65626,12
3,North Beach ,North Seattle[42],47.6962103,-122.392362,3362,25000,8
4,Crown Hill,North Seattle[42],47.6947154,-122.3714586,4442,118587,5
5,Greenwood,North Seattle[42],47.6909806,-122.3548773,16222,93810,8
6,Northgate,North Seattle[42],47.7131534,-122.3212307,2322,60000,10
7,Haller Lake,Northgate[50],47.7197478,-122.3337513,8203,72428,17
8,Pinehurst,Northgate[50],47.6038321,-122.3300624,7845,63283,14
9,North College Park,Northgate[50],Latitude Unavailable,Longitude Unavailable,2222,88620,11
10,Maple Leaf,Northgate[50],47.6939869,-122.322905,8888,64484,14
11,Lake City,North Seattle[42],47.7191619,-122.2954939,4545,74830,8
12,Cedar Park,Lake City[55],47.7256535,-122.2859597,8565,80117,10
13,Matthews Beach,Lake City[55],47.69692655,-122.2727236,6563,90332,7
14,Meadowbrook,Lake City[55],47.7056157,-122.2881579,3324,88620,12
15,Olympic Hills,Lake City[55],Latitude Unavailable,Longitude Unavailable,8058,64484,13
16,Victory Heights,Lake City[55],47.707598,-122.3076269,5350,74830,20
17,Wedgwood,North Seattle[42],47.6902531,-122.2908109,3255,4512,15
18,View Ridge,North Seattle[42],47.6795427,-122.2740144,5248,123796,12
19,Sand Point,North Seattle[42],47.6823594,-122.2643122,379,62031,12
20,Roosevelt,North Seattle[42],47.6773046,-122.3138071,6409,119183,9
21,Ravenna,North Seattle[42],47.6756537,-122.2976262,11482,107618,15
22,Bryant,North Seattle[42],47.6752333,-122.2834935,5226,114915,10
23,Windermere,North Seattle[42],47.6709318,-122.2617917,4627,153080,12
24,Hawthorne Hills,Windermere[42] / North Seattle,47.6720428,-122.2754032,5565,13565,15
25,Laurelhurst,North Seattle[42],47.6634317,-122.2770698,4558,198969,10
26,University District ,North Seattle[42],47.6612984,-122.3131523,26699,56697,29
27,University Village,Ravenna[42] / University District,47.6627401,-122.2989251,4463,175570,10
28,Wallingford,North Seattle[42],47.6594631,-122.3343417,15807,108096,8
29,Northlake,"Lake Union / Lower Wallingford, spilling over into Fremont and the University District.",47.6543794,-122.3208967,23522,108096,10
30,Green Lake,North Seattle[42],47.67828405,-122.3385487,23664,101884,10
31,Fremont,North Seattle[42],47.6504529,-122.3499861,11994,101997,8
32,Phinney Ridge,North Seattle[42],47.6721306,-122.3540306,9496,112259,7
33,Ballard,North Seattle[42],47.6765073,-122.3862233,7777,25000,9
34,West Woodland,Ballard[78],Latitude Unavailable,Longitude Unavailable,6864,101291,11
35,Whittier Heights,Ballard[78],47.683297,-122.3714487,4463,175570,10
36,Adams,Ballard[78],47.565271,-122.2795457,10114,95714,9
37,Sunset Hill,Ballard[78],47.6752172,-122.3984484,5282,106203,5
38,Loyal Heights,Ballard[78],47.6887088,-122.3929073,7957,116093,4
39,Central Seattle,Seattle,47.61269375,-122.3032046,,,
40,Magnolia,Central Seattle[42],47.6468106,-122.399489,4463,175570,10
41,Lawton Park,Magnolia[84],47.6563294,-122.4002959,8555,105125,9
42,Briarcliff,Magnolia[84],47.6481511,-122.4076121,5077,170905,5
